"age","drug","use","frequency"



"12","marijuana",1.1,4.0  
"13","marijuana",3.4,15.0
"14","marijuana",8.7,24.0
"15","marijuana",14.5,25.0
"16","marijuana",22.5,30.0
"17","marijuana",28.0,36.0
"18","marijuana",33.7,52.0
"19","marijuana",33.4,60.0
"20","marijuana",34.0,60.0
"21","marijuana",33.0,52.0
"22 - 23","marijuana",28.4,52.0
"24 - 25","marijuana",24.9,60.0
"26 - 29","marijuana",20.8,52.0
"30 - 34","marijuana",16.4,72.0
"35 - 49","marijuana",10.4,48.0
"50 - 64","marijuana",7.3,52.0
"65+","marijuana",1.2,36.0

"12","cocaine",0.1,5.0
"13","cocaine",0.1,1.0
"14","cocaine",0.1,5.5
"15","cocaine",0.5,4.0
"16","cocaine",1.0,7.0
"17","cocaine",2.0,5.0
"18","cocaine",3.2,5.0
"19","cocaine",4.1,5.5
"20","cocaine",4.9,8.0
"21","cocaine",4.8,5.0
"22 - 23","cocaine",4.5,5.0
"24 - 25","cocaine",4.0,6.0
"26 - 29","cocaine",3.2,5.0
"30 - 34","cocaine",2.1,8.0
"35 - 49","cocaine",1.5,15.0
"50 - 64","cocaine",0.9,36.0
"65+","cocaine",0.0,"null"

"12","crack",0.0,"null"
"13","crack",0.0,3.0
"14","crack",0.0,"null"},
"15","crack",0.1,9.5
"16","crack",0.0,1.0
"17","crack",0.1,21.0
"18","crack",0.4,10.0
"19","crack",0.5,2.0
"20","crack",0.6,5.0
"21","crack",0.5,17.0
"22 - 23","crack",0.5,5.0
"24 - 25","crack",0.5,6.0
"26 - 29","crack",0.4,6.0
"30 - 34","crack",0.5,15.0
"35 - 49","crack",0.5,48.0
"50 - 64","crack",0.4,62.0
"65+","crack",0.0,"null"

"12","heroin",0.1,35.5
"13","heroin",0.0,"null"
"14","heroin",0.1,2.0
"15","heroin",0.2,1.0
"16","heroin",0.1,66.5
"17","heroin",0.1,64.0
"18","heroin",0.4,46.0
"19","heroin",0.5,180.0
"20","heroin",0.9,45.0
"21","heroin",0.6,30.0
"22 - 23","heroin",1.1,57.5
"24 - 25","heroin",0.7,88.0
"26 - 29","heroin",0.6,50.0
"30 - 34","heroin",0.4,66.0
"35 - 49","heroin",0.1,280.0
"50 - 64","heroin",0.1,41.0
"65+","heroin",0.0,120.0

"12","hallucinogen",0.2,52.0
"13","hallucinogen",0.6,6.0
"14","hallucinogen",1.6,3.0
"15","hallucinogen",2.1,4.0
"16","hallucinogen",3.4,3.0
"17","hallucinogen",4.8,3.0
"18","hallucinogen",7.0,4.0
"19","hallucinogen",8.6,3.0
"20","hallucinogen",7.4,2.0
"21","hallucinogen",6.3,4.0
"22 - 23","hallucinogen",5.2,3.0
"24 - 25","hallucinogen",4.5,2.0
"26 - 29","hallucinogen",3.2,3.0
"30 - 34","hallucinogen",1.8,2.0
"35 - 49","hallucinogen",0.6,3.0
"50 - 64","hallucinogen",0.3,44.0
"65+","hallucinogen",0.1,2.0

"12","inhalant",1.6,19.0
"13","inhalant",2.5,12.0
"14","inhalant",2.6,5.0
"15","inhalant",2.5,5.5
"16","inhalant",3.0,3.0
"17","inhalant",2.0,4.0
"18","inhalant",1.8,4.0
